Genotype,Envir,Latitude,Longitude,D,Lat,Lon,D_spats_residuals,D_spats_geno_pred_values,D_spats_adj_pheno
BE10_6_A_GS,GS_2015_A,57.63,-5.35,15,57.63,-5.35,-2.39503243811743,24.5127518873016,22.1177194491841
BE2_26_A_GS,GS_2015_A,57.63,-5.35,14,57.63,-5.35,-2.89503243811743,24.0127518873016,21.1177194491841
BE4_10_A_GS,GS_2015_A,57.63,-5.35,28,57.63,-5.35,4.10496756188259,31.0127518873015,35.1177194491841
BE5_2_A_GS,GS_2015_A,57.63,-5.35,21,57.63,-5.35,0.604967561882585,27.5127518873015,28.1177194491841
BE7_29_A_GS,GS_2015_A,57.63,-5.35,21,57.63,-5.35,0.604967561882585,27.5127518873015,28.1177194491841
GA1_6_A_GS,GS_2015_A,57.27,-4.92,21,57.27,-4.92,-1.4263432859372,25.4814410394817,24.0550977535445
GA10_15_A_GS,GS_2015_A,57.27,-4.92,28,57.27,-4.92,2.07365671406281,28.9814410394817,31.0550977535445
GA6_15_A_GS,GS_2015_A,57.27,-4.92,21,57.27,-4.92,-1.4263432859372,25.4814410394817,24.0550977535445
GA9_6_A_GS,GS_2015_A,57.27,-4.92,35,57.27,-4.92,5.57365671406282,32.4814410394817,38.0550977535445
GL1_26_A_GS,GS_2015_A,56.91,-5.13,28,56.91,-5.13,1.53429332922755,28.4420776546465,29.976370983874
GL2_2_A_GS,GS_2015_A,56.91,-5.13,28,56.91,-5.13,1.53429332922755,28.4420776546465,29.976370983874
GL4_10_A_GS,GS_2015_A,56.91,-5.13,21,56.91,-5.13,-1.96570667077246,24.9420776546465,22.976370983874
GL5_6_A_GS,GS_2015_A,56.91,-5.13,21,56.91,-5.13,-1.96570667077246,24.9420776546465,22.976370983874
GL6_2_A_GS,GS_2015_A,56.91,-5.13,28,56.91,-5.13,1.53429332922755,28.4420776546465,29.976370983874
GL7_2_A_GS,GS_2015_A,56.91,-5.13,22,56.91,-5.13,-1.46570667077246,25.4420776546465,23.976370983874
GL8_29_A_GS,GS_2015_A,56.91,-5.13,21,56.91,-5.13,-1.96570667077246,24.9420776546465,22.976370983874
GT1_22_A_GS,GS_2015_A,57.05,-2.86,21,57.05,-2.86,-1.36532826662295,25.542456058796,24.1771277921731
GT5_6_A_GS,GS_2015_A,57.05,-2.86,13,57.05,-2.86,-5.36532826662296,21.542456058796,16.1771277921731
GT7_5_A_GS,GS_2015_A,57.05,-2.86,21,57.05,-2.86,-1.36532826662295,25.542456058796,24.1771277921731
GT8_29_A_GS,GS_2015_A,57.05,-2.86,28,57.05,-2.86,2.13467173337705,29.042456058796,31.1771277921731
GT9_9_A_GS,GS_2015_A,57.05,-2.86,35,57.05,-2.86,5.63467173337707,32.542456058796,38.1771277921731
RD1_6_A_GS,GS_2015_A,57.89,-4.98,19,57.89,-4.98,-1.24429221237904,25.6634921130399,24.4191999006609
RD5_5_A_GS,GS_2015_A,57.89,-4.98,28,57.89,-4.98,3.25570778762097,30.1634921130399,33.4191999006609
RD7_29_A_GS,GS_2015_A,57.89,-4.98,14,57.89,-4.98,-3.74429221237905,23.1634921130399,19.4191999006609
BE10_6_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.09854976600648,19.3501491348998,21.4486989009063
BE2_26_A_GS,GS_2016_A,57.63,-5.35,12,57.63,-5.35,-8.40145023399347,8.85014913489978,0.44869890090631
BE4_10_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.09854976600648,19.3501491348998,21.4486989009063
BE5_2_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.09854976600648,19.3501491348998,21.4486989009063
BE7_29_A_GS,GS_2016_A,57.63,-5.35,33,57.63,-5.35,2.09854976600648,19.3501491348998,21.4486989009063
GA1_6_A_GS,GS_2016_A,57.27,-4.92,28,57.27,-4.92,2.27506319916788,19.5266625680613,21.8017257672291
GA10_15_A_GS,GS_2016_A,57.27,-4.92,21,57.27,-4.92,-1.2249368008321,16.0266625680613,14.8017257672291
GA6_15_A_GS,GS_2016_A,57.27,-4.92,21,57.27,-4.92,-1.2249368008321,16.0266625680613,14.8017257672291
GA9_6_A_GS,GS_2016_A,57.27,-4.92,21,57.27,-4.92,-1.2249368008321,16.0266625680613,14.8017257672291
GL1_26_A_GS,GS_2016_A,56.91,-5.13,12,56.91,-5.13,-5.45632270741959,11.7952766614737,6.33895395405413
GL2_2_A_GS,GS_2016_A,56.91,-5.13,28,56.91,-5.13,2.54367729258037,19.7952766614738,22.3389539540541
GL4_10_A_GS,GS_2016_A,56.91,-5.13,28,56.91,-5.13,2.54367729258037,19.7952766614738,22.3389539540541
GL5_6_A_GS,GS_2016_A,56.91,-5.13,21,56.91,-5.13,-0.956322707419609,16.2952766614737,15.3389539540541
GL6_2_A_GS,GS_2016_A,56.91,-5.13,12,56.91,-5.13,-5.45632270741959,11.7952766614737,6.33895395405413
GL7_2_A_GS,GS_2016_A,56.91,-5.13,33,56.91,-5.13,5.04367729258036,22.2952766614738,27.3389539540541
GL8_29_A_GS,GS_2016_A,56.91,-5.13,28,56.91,-5.13,2.54367729258037,19.7952766614738,22.3389539540541
GT1_22_A_GS,GS_2016_A,57.05,-2.86,28,57.05,-2.86,3.01907198646434,20.2706713553577,23.289743341822
GT5_6_A_GS,GS_2016_A,57.05,-2.86,7,57.05,-2.86,-7.48092801353562,9.77067135535766,2.28974334182203
GT7_5_A_GS,GS_2016_A,57.05,-2.86,21,57.05,-2.86,-0.480928013535646,16.7706713553577,16.289743341822
GT8_29_A_GS,GS_2016_A,57.05,-2.86,21,57.05,-2.86,-0.480928013535646,16.7706713553577,16.289743341822
GT9_9_A_GS,GS_2016_A,57.05,-2.86,33,57.05,-2.86,5.51907198646432,22.7706713553577,28.289743341822
RD1_6_A_GS,GS_2016_A,57.89,-4.98,28,57.89,-4.98,1.66863246430242,18.9202318331958,20.5888642974982
RD5_5_A_GS,GS_2016_A,57.89,-4.98,21,57.89,-4.98,-1.83136753569756,15.4202318331958,13.5888642974982
RD7_29_A_GS,GS_2016_A,57.89,-4.98,26,57.89,-4.98,0.668632464302423,17.9202318331958,18.5888642974982
BE10_6_A_GS,GS_2017_A,57.63,-5.35,32,57.63,-5.35,1.87180503101479,24.8547343101194,26.7265393411342
BE2_26_A_GS,GS_2017_A,57.63,-5.35,21,57.63,-5.35,-3.62819496898529,19.3547343101194,15.7265393411342
BE5_2_A_GS,GS_2017_A,57.63,-5.35,30,57.63,-5.35,0.87180503101478,23.8547343101194,24.7265393411342
BE7_29_A_GS,GS_2017_A,57.63,-5.35,30,57.63,-5.35,0.87180503101478,23.8547343101194,24.7265393411342
GA1_6_A_GS,GS_2017_A,57.27,-4.92,25,57.27,-4.92,-0.491748596612403,22.4911806824922,21.9994320858798
GA10_15_A_GS,GS_2017_A,57.27,-4.92,30,57.27,-4.92,2.00825140338764,24.9911806824921,26.9994320858798
GA6_15_A_GS,GS_2017_A,57.27,-4.92,23,57.27,-4.92,-1.49174859661242,21.4911806824922,19.9994320858798
GA9_6_A_GS,GS_2017_A,57.27,-4.92,21,57.27,-4.92,-2.49174859661243,20.4911806824922,17.9994320858798
GL1_26_A_GS,GS_2017_A,56.91,-5.13,28,56.91,-5.13,1.06001200357387,24.0429412826785,25.1029532862523
GL2_2_A_GS,GS_2017_A,56.91,-5.13,28,56.91,-5.13,1.06001200357387,24.0429412826785,25.1029532862523
GL4_10_A_GS,GS_2017_A,56.91,-5.13,21,56.91,-5.13,-2.43998799642618,20.5429412826785,18.1029532862523
GL5_6_A_GS,GS_2017_A,56.91,-5.13,23,56.91,-5.13,-1.43998799642617,21.5429412826785,20.1029532862523
GL6_2_A_GS,GS_2017_A,56.91,-5.13,28,56.91,-5.13,1.06001200357387,24.0429412826785,25.1029532862523
GL7_2_A_GS,GS_2017_A,56.91,-5.13,21,56.91,-5.13,-2.43998799642618,20.5429412826785,18.1029532862523
GL8_29_A_GS,GS_2017_A,56.91,-5.13,35,56.91,-5.13,4.56001200357392,27.5429412826784,32.1029532862523
GT1_22_A_GS,GS_2017_A,57.05,-2.86,30,57.05,-2.86,0.833613557815468,23.8165428369201,24.6501563947355
GT5_6_A_GS,GS_2017_A,57.05,-2.86,21,57.05,-2.86,-3.6663864421846,19.3165428369201,15.6501563947355
GT7_5_A_GS,GS_2017_A,57.05,-2.86,21,57.05,-2.86,-3.6663864421846,19.3165428369201,15.6501563947355
GT8_29_A_GS,GS_2017_A,57.05,-2.86,28,57.05,-2.86,-0.166386442184546,22.8165428369201,22.6501563947355
GT9_9_A_GS,GS_2017_A,57.05,-2.86,42,57.05,-2.86,6.83361355781561,29.81654283692,36.6501563947356
RD1_6_A_GS,GS_2017_A,57.89,-4.98,30,57.89,-4.98,2.13054081609711,25.1134700952017,27.2440109112988
RD5_5_A_GS,GS_2017_A,57.89,-4.98,21,57.89,-4.98,-2.36945918390295,20.6134700952017,18.2440109112988
RD7_29_A_GS,GS_2017_A,57.89,-4.98,28,57.89,-4.98,1.1305408160971,24.1134700952017,25.2440109112988
BE10_6_A_GS,GS_2018_A,57.63,-5.35,14,57.63,-5.35,-2.62761855624035,14.8298719428213,12.2022533865809
BE2_26_A_GS,GS_2018_A,57.63,-5.35,14,57.63,-5.35,-2.62761855624035,14.8298719428213,12.2022533865809
BE5_2_A_GS,GS_2018_A,57.63,-5.35,21,57.63,-5.35,0.872381443759664,18.3298719428213,19.2022533865809
BE7_29_A_GS,GS_2018_A,57.63,-5.35,28,57.63,-5.35,4.37238144375969,21.8298719428212,26.2022533865809
GA1_6_A_GS,GS_2018_A,57.27,-4.92,14,57.27,-4.92,-1.3804793627916,16.07701113627,14.6965317734784
GA10_15_A_GS,GS_2018_A,57.27,-4.92,14,57.27,-4.92,-1.3804793627916,16.07701113627,14.6965317734784
GA6_15_A_GS,GS_2018_A,57.27,-4.92,14,57.27,-4.92,-1.3804793627916,16.07701113627,14.6965317734784
GA9_6_A_GS,GS_2018_A,57.27,-4.92,21,57.27,-4.92,2.1195206372084,19.57701113627,21.6965317734784
GL1_26_A_GS,GS_2018_A,56.91,-5.13,21,56.91,-5.13,0.666268991016509,18.1237594900781,18.7900284810946
GL2_2_A_GS,GS_2018_A,56.91,-5.13,21,56.91,-5.13,0.666268991016509,18.1237594900781,18.7900284810946
GL4_10_A_GS,GS_2018_A,56.91,-5.13,14,56.91,-5.13,-2.83373100898351,14.6237594900781,11.7900284810946
GL5_6_A_GS,GS_2018_A,56.91,-5.13,21,56.91,-5.13,0.666268991016509,18.1237594900781,18.7900284810946
GL6_2_A_GS,GS_2018_A,56.91,-5.13,21,56.91,-5.13,0.666268991016509,18.1237594900781,18.7900284810946
GL7_2_A_GS,GS_2018_A,56.91,-5.13,14,56.91,-5.13,-2.83373100898351,14.6237594900781,11.7900284810946
GL8_29_A_GS,GS_2018_A,56.91,-5.13,28,56.91,-5.13,4.16626899101653,21.6237594900781,25.7900284810946
GT1_22_A_GS,GS_2018_A,57.05,-2.86,21,57.05,-2.86,-0.672450752413944,16.7850397466477,16.1125889942337
GT5_6_A_GS,GS_2018_A,57.05,-2.86,21,57.05,-2.86,-0.672450752413944,16.7850397466477,16.1125889942337
GT7_5_A_GS,GS_2018_A,57.05,-2.86,21,57.05,-2.86,-0.672450752413944,16.7850397466477,16.1125889942337
GT8_29_A_GS,GS_2018_A,57.05,-2.86,21,57.05,-2.86,-0.672450752413944,16.7850397466477,16.1125889942337
GT9_9_A_GS,GS_2018_A,57.05,-2.86,28,57.05,-2.86,2.82754924758607,20.2850397466476,23.1125889942337
RD1_6_A_GS,GS_2018_A,57.89,-4.98,21,57.89,-4.98,0.243587500368907,17.7010779994305,17.9446654997994
RD5_5_A_GS,GS_2018_A,57.89,-4.98,21,57.89,-4.98,0.243587500368907,17.7010779994305,17.9446654997994
RD7_29_A_GS,GS_2018_A,57.89,-4.98,21,57.89,-4.98,0.243587500368907,17.7010779994305,17.9446654997994
BE10_6_A_GS,GS_2019_A,57.63,-5.35,28,57.63,-5.35,1.75491848398369,13.6647285204576,15.4196470044413
BE2_26_A_GS,GS_2019_A,57.63,-5.35,14,57.63,-5.35,-5.24508151601646,6.66472852045772,1.41964700444126
BE5_2_A_GS,GS_2019_A,57.63,-5.35,28,57.63,-5.35,1.75491848398369,13.6647285204576,15.4196470044413
BE7_29_A_GS,GS_2019_A,57.63,-5.35,28,57.63,-5.35,1.75491848398369,13.6647285204576,15.4196470044413
GA1_6_A_GS,GS_2019_A,57.27,-4.92,21,57.27,-4.92,0.0744514998381156,11.9842615363121,12.0587130361502
GA10_15_A_GS,GS_2019_A,57.27,-4.92,28,57.27,-4.92,3.57445149983819,15.484261536312,19.0587130361502
GA6_15_A_GS,GS_2019_A,57.27,-4.92,28,57.27,-4.92,3.57445149983819,15.484261536312,19.0587130361502
GA9_6_A_GS,GS_2019_A,57.27,-4.92,14,57.27,-4.92,-3.42554850016196,8.48426153631216,5.0587130361502
GL1_26_A_GS,GS_2019_A,56.91,-5.13,21,56.91,-5.13,0.187693792240122,12.0975038287141,12.2851976209542
GL2_2_A_GS,GS_2019_A,56.91,-5.13,28,56.91,-5.13,3.68769379224019,15.597503828714,19.2851976209542
GL4_10_A_GS,GS_2019_A,56.91,-5.13,14,56.91,-5.13,-3.31230620775995,8.59750382871417,5.28519762095422
GL5_6_A_GS,GS_2019_A,56.91,-5.13,21,56.91,-5.13,0.187693792240122,12.0975038287141,12.2851976209542
GL6_2_A_GS,GS_2019_A,56.91,-5.13,21,56.91,-5.13,0.187693792240122,12.0975038287141,12.2851976209542
GL7_2_A_GS,GS_2019_A,56.91,-5.13,21,56.91,-5.13,0.187693792240122,12.0975038287141,12.2851976209542
GL8_29_A_GS,GS_2019_A,56.91,-5.13,14,56.91,-5.13,-3.31230620775995,8.59750382871417,5.28519762095422
GT1_22_A_GS,GS_2019_A,57.05,-2.86,28,57.05,-2.86,5.54825372435685,17.4580637608306,23.0063174851874
GT5_6_A_GS,GS_2019_A,57.05,-2.86,14,57.05,-2.86,-1.45174627564331,10.4580637608307,9.0063174851874
GT7_5_A_GS,GS_2019_A,57.05,-2.86,14,57.05,-2.86,-1.45174627564331,10.4580637608307,9.0063174851874
GT8_29_A_GS,GS_2019_A,57.05,-2.86,14,57.05,-2.86,-1.45174627564331,10.4580637608307,9.0063174851874
GT9_9_A_GS,GS_2019_A,57.05,-2.86,14,57.05,-2.86,-1.45174627564331,10.4580637608307,9.0063174851874
RD1_6_A_GS,GS_2019_A,57.89,-4.98,21,57.89,-4.98,1.87579829908461,13.7856083355585,15.6614066346431
RD5_5_A_GS,GS_2019_A,57.89,-4.98,14,57.89,-4.98,-1.62420170091546,10.2856083355586,8.66140663464313
RD7_29_A_GS,GS_2019_A,57.89,-4.98,14,57.89,-4.98,-1.62420170091546,10.2856083355586,8.66140663464313
BE2_3_C_GS,GS_2015_C,57.63,-5.35,21,57.63,-5.35,-0.705026445807864,28.7857557064584,28.0807292606505
BE3_10_C_GS,GS_2015_C,57.63,-5.35,28,57.63,-5.35,2.79497355419205,32.2857557064584,35.0807292606505
BE7_5_C_GS,GS_2015_C,57.63,-5.35,21,57.63,-5.35,-0.705026445807864,28.7857557064584,28.0807292606505
BE8_15_C_GS,GS_2015_C,57.63,-5.35,21,57.63,-5.35,-0.705026445807864,28.7857557064584,28.0807292606505
BE9_15_C_GS,GS_2015_C,57.63,-5.35,21,57.63,-5.35,-0.705026445807864,28.7857557064584,28.0807292606505
GA1_3_C_GS,GS_2015_C,57.27,-4.92,21,57.27,-4.92,-2.37029217266349,27.1204899796027,24.7501978069392
GA5_2_C_GS,GS_2015_C,57.27,-4.92,21,57.27,-4.92,-2.37029217266349,27.1204899796027,24.7501978069392
GA7_2_C_GS,GS_2015_C,57.27,-4.92,28,57.27,-4.92,1.12970782733642,30.6204899796027,31.7501978069392
GA8_15_C_GS,GS_2015_C,57.27,-4.92,21,57.27,-4.92,-2.37029217266349,27.1204899796027,24.7501978069392
GA9_15_C_GS,GS_2015_C,57.27,-4.92,28,57.27,-4.92,1.12970782733642,30.6204899796027,31.7501978069392
GL1_29_C_GS,GS_2015_C,56.91,-5.13,28,56.91,-5.13,0.827523177181764,30.3183053294481,31.1458285066299
GL2_3_C_GS,GS_2015_C,56.91,-5.13,28,56.91,-5.13,0.827523177181764,30.3183053294481,31.1458285066299
GL3_22_C_GS,GS_2015_C,56.91,-5.13,35,56.91,-5.13,4.32752317718168,33.8183053294482,38.1458285066299
GL4_6_C_GS,GS_2015_C,56.91,-5.13,15,56.91,-5.13,-5.67247682281807,23.8183053294479,18.1458285066299
GL5_5_C_GS,GS_2015_C,56.91,-5.13,21,56.91,-5.13,-2.67247682281815,26.818305329448,24.1458285066299
GL6_10_C_GS,GS_2015_C,56.91,-5.13,28,56.91,-5.13,0.827523177181764,30.3183053294481,31.1458285066299
GL8_22_C_GS,GS_2015_C,56.91,-5.13,35,56.91,-5.13,4.32752317718168,33.8183053294482,38.1458285066299
GT2_9_C_GS,GS_2015_C,57.05,-2.86,21,57.05,-2.86,-0.611581127115432,28.8792010251508,28.2676198980354
GT3_10_C_GS,GS_2015_C,57.05,-2.86,22,57.05,-2.86,-0.111581127115446,29.3792010251508,29.2676198980354
GT5_26_C_GS,GS_2015_C,57.05,-2.86,35,57.05,-2.86,6.38841887288439,35.879201025151,42.2676198980354
GT6_5_C_GS,GS_2015_C,57.05,-2.86,21,57.05,-2.86,-0.611581127115432,28.8792010251508,28.2676198980354
GT7_2_C_GS,GS_2015_C,57.05,-2.86,21,57.05,-2.86,-0.611581127115432,28.8792010251508,28.2676198980354
GT9_29_C_GS,GS_2015_C,57.05,-2.86,14,57.05,-2.86,-4.11158112711534,25.3792010251507,21.2676198980354
RD1_10_C_GS,GS_2015_C,57.89,-4.98,21,57.89,-4.98,-2.24951176931864,27.2412703829475,24.9917586136289
RD10_6_C_GS,GS_2015_C,57.89,-4.98,28,57.89,-4.98,1.25048823068128,30.7412703829476,31.9917586136289
RD2_2_C_GS,GS_2015_C,57.89,-4.98,35,57.89,-4.98,4.75048823068119,34.2412703829477,38.9917586136289
RD3_29_C_GS,GS_2015_C,57.89,-4.98,28,57.89,-4.98,1.25048823068128,30.7412703829476,31.9917586136289
RD5_10_C_GS,GS_2015_C,57.89,-4.98,21,57.89,-4.98,-2.24951176931864,27.2412703829475,24.9917586136289
RD7_5_C_GS,GS_2015_C,57.89,-4.98,28,57.89,-4.98,1.25048823068128,30.7412703829476,31.9917586136289
RD8_15_C_GS,GS_2015_C,57.89,-4.98,21,57.89,-4.98,-2.24951176931864,27.2412703829475,24.9917586136289
BE2_3_C_GS,GS_2016_C,57.63,-5.35,28,57.63,-5.35,-0.999797977894261,18.8490103770952,17.8492123992009
BE3_10_C_GS,GS_2016_C,57.63,-5.35,28,57.63,-5.35,-0.999797977894261,18.8490103770952,17.8492123992009
BE7_5_C_GS,GS_2016_C,57.63,-5.35,28,57.63,-5.35,-0.999797977894261,18.8490103770952,17.8492123992009
BE8_15_C_GS,GS_2016_C,57.63,-5.35,33,57.63,-5.35,1.50020202210574,21.3490103770952,22.8492123992009
BE9_15_C_GS,GS_2016_C,57.63,-5.35,33,57.63,-5.35,1.50020202210574,21.3490103770952,22.8492123992009
GA1_3_C_GS,GS_2016_C,57.27,-4.92,28,57.27,-4.92,1.173747284603,21.0225556395925,22.1963029241955
GA5_2_C_GS,GS_2016_C,57.27,-4.92,21,57.27,-4.92,-2.32625271539701,17.5225556395925,15.1963029241955
GA8_15_C_GS,GS_2016_C,57.27,-4.92,33,57.27,-4.92,3.673747284603,23.5225556395925,27.1963029241955
GA9_15_C_GS,GS_2016_C,57.27,-4.92,21,57.27,-4.92,-2.32625271539701,17.5225556395925,15.1963029241955
GL1_29_C_GS,GS_2016_C,56.91,-5.13,21,56.91,-5.13,-2.37317746195984,17.4756308930296,15.1024534310698
GL2_3_C_GS,GS_2016_C,56.91,-5.13,33,56.91,-5.13,3.62682253804016,23.4756308930296,27.1024534310698
GL3_22_C_GS,GS_2016_C,56.91,-5.13,9,56.91,-5.13,-8.37317746195985,11.4756308930296,3.10245343106976
GL4_6_C_GS,GS_2016_C,56.91,-5.13,28,56.91,-5.13,1.12682253804016,20.9756308930296,22.1024534310698
GL5_5_C_GS,GS_2016_C,56.91,-5.13,28,56.91,-5.13,1.12682253804016,20.9756308930296,22.1024534310698
GL6_10_C_GS,GS_2016_C,56.91,-5.13,33,56.91,-5.13,3.62682253804016,23.4756308930296,27.1024534310698
GL8_22_C_GS,GS_2016_C,56.91,-5.13,28,56.91,-5.13,1.12682253804016,20.9756308930296,22.1024534310698
GT2_9_C_GS,GS_2016_C,57.05,-2.86,28,57.05,-2.86,2.83111934414613,22.6799276991356,25.5110470432817
GT3_10_C_GS,GS_2016_C,57.05,-2.86,28,57.05,-2.86,2.83111934414613,22.6799276991356,25.5110470432817
GT5_26_C_GS,GS_2016_C,57.05,-2.86,17,57.05,-2.86,-2.66888065585387,17.1799276991356,14.5110470432817
GT6_5_C_GS,GS_2016_C,57.05,-2.86,21,57.05,-2.86,-0.668880655853872,19.1799276991356,18.5110470432817
GT7_2_C_GS,GS_2016_C,57.05,-2.86,28,57.05,-2.86,2.83111934414613,22.6799276991356,25.5110470432817
GT9_29_C_GS,GS_2016_C,57.05,-2.86,12,57.05,-2.86,-5.16888065585388,14.6799276991356,9.5110470432817
RD1_10_C_GS,GS_2016_C,57.89,-4.98,28,57.89,-4.98,0.904921153318913,20.7537295083084,21.6586506616273
RD10_6_C_GS,GS_2016_C,57.89,-4.98,21,57.89,-4.98,-2.59507884668109,17.2537295083084,14.6586506616273
RD2_2_C_GS,GS_2016_C,57.89,-4.98,33,57.89,-4.98,3.40492115331891,23.2537295083084,26.6586506616273
RD3_29_C_GS,GS_2016_C,57.89,-4.98,21,57.89,-4.98,-2.59507884668109,17.2537295083084,14.6586506616273
RD5_10_C_GS,GS_2016_C,57.89,-4.98,33,57.89,-4.98,3.40492115331891,23.2537295083084,26.6586506616273
RD7_5_C_GS,GS_2016_C,57.89,-4.98,21,57.89,-4.98,-2.59507884668109,17.2537295083084,14.6586506616273
BE2_3_C_GS,GS_2017_C,57.63,-5.35,21,57.63,-5.35,-2.50415127026447,30.823259388313,28.3191081180485
BE3_10_C_GS,GS_2017_C,57.63,-5.35,28,57.63,-5.35,0.995848729735489,34.323259388313,35.3191081180485
BE5_9_C_GS,GS_2017_C,57.63,-5.35,35,57.63,-5.35,4.49584872973544,37.823259388313,42.3191081180485
BE7_5_C_GS,GS_2017_C,57.63,-5.35,14,57.63,-5.35,-6.00415127026443,27.3232593883129,21.3191081180485
BE8_15_C_GS,GS_2017_C,57.63,-5.35,30,57.63,-5.35,1.99584872973547,35.323259388313,37.3191081180485
BE9_15_C_GS,GS_2017_C,57.63,-5.35,28,57.63,-5.35,0.995848729735489,34.323259388313,35.3191081180485
GA1_3_C_GS,GS_2017_C,57.27,-4.92,32,57.27,-4.92,1.43837935615787,34.7657900147354,36.2041693708932
GA5_2_C_GS,GS_2017_C,57.27,-4.92,21,57.27,-4.92,-4.06162064384207,29.2657900147353,25.2041693708932
GA7_2_C_GS,GS_2017_C,57.27,-4.92,32,57.27,-4.92,1.43837935615787,34.7657900147354,36.2041693708932
GA8_15_C_GS,GS_2017_C,57.27,-4.92,30,57.27,-4.92,0.438379356157878,33.7657900147354,34.2041693708932
GA9_15_C_GS,GS_2017_C,57.27,-4.92,21,57.27,-4.92,-4.06162064384207,29.2657900147353,25.2041693708932
GL1_29_C_GS,GS_2017_C,56.91,-5.13,21,56.91,-5.13,-4.1046136945461,29.2227969640313,25.1181832694852
GL2_3_C_GS,GS_2017_C,56.91,-5.13,42,56.91,-5.13,6.39538630545373,39.7227969640314,46.1181832694852
GL3_22_C_GS,GS_2017_C,56.91,-5.13,21,56.91,-5.13,-4.1046136945461,29.2227969640313,25.1181832694852
GL4_6_C_GS,GS_2017_C,56.91,-5.13,28,56.91,-5.13,-0.604613694546142,32.7227969640313,32.1181832694852
GL5_5_C_GS,GS_2017_C,56.91,-5.13,35,56.91,-5.13,2.89538630545378,36.2227969640314,39.1181832694851
GL6_10_C_GS,GS_2017_C,56.91,-5.13,35,56.91,-5.13,2.89538630545378,36.2227969640314,39.1181832694851
GL8_22_C_GS,GS_2017_C,56.91,-5.13,28,56.91,-5.13,-0.604613694546142,32.7227969640313,32.1181832694852
GT2_9_C_GS,GS_2017_C,57.05,-2.86,30,57.05,-2.86,1.88792657184703,35.2153372304245,37.1032638022716
GT3_10_C_GS,GS_2017_C,57.05,-2.86,25,57.05,-2.86,-0.612073428152939,32.7153372304245,32.1032638022716
GT5_26_C_GS,GS_2017_C,57.05,-2.86,36,57.05,-2.86,4.88792657184699,38.2153372304246,43.1032638022716
GT6_5_C_GS,GS_2017_C,57.05,-2.86,23,57.05,-2.86,-1.61207342815293,31.7153372304245,30.1032638022715
GT7_2_C_GS,GS_2017_C,57.05,-2.86,23,57.05,-2.86,-1.61207342815293,31.7153372304245,30.1032638022715
GT9_29_C_GS,GS_2017_C,57.05,-2.86,21,57.05,-2.86,-2.61207342815292,30.7153372304245,28.1032638022715
RD1_10_C_GS,GS_2017_C,57.89,-4.98,23,57.89,-4.98,-3.25175038977961,30.0756602687978,26.8239098790182
RD10_6_C_GS,GS_2017_C,57.89,-4.98,21,57.89,-4.98,-4.2517503897796,29.0756602687978,24.8239098790182
RD2_2_C_GS,GS_2017_C,57.89,-4.98,36,57.89,-4.98,3.24824961022033,36.5756602687979,39.8239098790182
RD3_29_C_GS,GS_2017_C,57.89,-4.98,28,57.89,-4.98,-0.751750389779641,32.5756602687978,31.8239098790182
RD5_10_C_GS,GS_2017_C,57.89,-4.98,30,57.89,-4.98,0.248249610220345,33.5756602687978,33.8239098790182
RD7_5_C_GS,GS_2017_C,57.89,-4.98,35,57.89,-4.98,2.74824961022035,36.0756602687979,38.8239098790182
RD8_15_C_GS,GS_2017_C,57.89,-4.98,37,57.89,-4.98,3.74824961022033,37.0756602687979,40.8239098790182
BE2_3_C_GS,GS_2018_C,57.63,-5.35,14,57.63,-5.35,-1.16478624855948,17.4412740675187,16.2764878189592
BE3_10_C_GS,GS_2018_C,57.63,-5.35,21,57.63,-5.35,2.3352137514405,20.9412740675187,23.2764878189592
BE5_9_C_GS,GS_2018_C,57.63,-5.35,21,57.63,-5.35,2.3352137514405,20.9412740675187,23.2764878189592
BE7_5_C_GS,GS_2018_C,57.63,-5.35,7,57.63,-5.35,-4.66478624855947,13.9412740675186,9.27648781895917
BE8_15_C_GS,GS_2018_C,57.63,-5.35,21,57.63,-5.35,2.3352137514405,20.9412740675187,23.2764878189592
BE9_15_C_GS,GS_2018_C,57.63,-5.35,14,57.63,-5.35,-1.16478624855948,17.4412740675187,16.2764878189592
GA1_3_C_GS,GS_2018_C,57.27,-4.92,14,57.27,-4.92,-1.66441070913372,16.9416496069444,15.2772388978107
GA5_2_C_GS,GS_2018_C,57.27,-4.92,14,57.27,-4.92,-1.66441070913372,16.9416496069444,15.2772388978107
GA7_2_C_GS,GS_2018_C,57.27,-4.92,21,57.27,-4.92,1.83558929086625,20.4416496069444,22.2772388978107
GA8_15_C_GS,GS_2018_C,57.27,-4.92,21,57.27,-4.92,1.83558929086625,20.4416496069444,22.2772388978107
GA9_15_C_GS,GS_2018_C,57.27,-4.92,21,57.27,-4.92,1.83558929086625,20.4416496069444,22.2772388978107
GL1_29_C_GS,GS_2018_C,56.91,-5.13,21,56.91,-5.13,1.8209002255579,20.426960541636,22.2478607671939
GL2_3_C_GS,GS_2018_C,56.91,-5.13,21,56.91,-5.13,1.8209002255579,20.426960541636,22.2478607671939
GL3_22_C_GS,GS_2018_C,56.91,-5.13,14,56.91,-5.13,-1.67909977444213,16.926960541636,15.2478607671939
